Name,Datatype,Length,Precision,Not-null,Status
EXTN_ATTRIBUTE_CHAR060,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR061,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR062,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR063,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR064,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR065,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR066,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR067,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR068,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR069,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR070,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_TIMESTAMP016,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP017,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP018,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER041,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER042,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER043,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER044,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER045,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER046,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER047,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER048,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR071,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR072,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR073,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR074,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR075,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR076,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR077,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR078,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR079,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR080,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR081,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR082,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR083,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR084,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB005,CLOB,,,,
EXTN_ATTRIBUTE_CLOB006,CLOB,,,,
EXTN_ATTRIBUTE_TIMESTAMP019,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP020,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP021,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER049,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER050,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER051,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER052,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER053,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER054,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER055,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER056,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR085,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR086,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR087,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR088,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR089,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR090,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR091,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR092,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR093,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR094,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR095,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR096,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR097,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR098,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_TIMESTAMP022,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP023,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP024,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER057,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER058,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER059,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER060,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER061,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER062,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER063,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER064,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR099,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR100,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR101,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR102,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR103,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR104,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR105,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR106,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR107,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR108,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR109,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR110,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR111,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR112,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB007,CLOB,,,,
EXTN_ATTRIBUTE_CLOB008,CLOB,,,,
EXTN_ATTRIBUTE_TIMESTAMP025,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP026,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP027,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER065,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER066,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER067,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER068,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER069,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER070,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER071,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER072,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR113,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR114,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR115,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR116,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR117,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR118,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR119,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR120,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR121,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR122,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR123,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR124,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR125,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR126,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_TIMESTAMP028,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP029,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP030,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER073,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER074,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER075,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER076,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER077,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER078,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER079,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER080,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR127,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR128,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR129,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR130,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR131,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR132,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR133,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR134,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR135,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR136,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR137,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR138,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR139,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR140,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB009,CLOB,,,,
EXTN_ATTRIBUTE_CLOB010,CLOB,,,,
EXTN_ATTRIBUTE_TIMESTAMP031,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP032,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP033,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER081,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER082,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER083,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER084,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER085,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER086,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER087,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER088,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR141,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR142,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR143,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR144,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR145,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR146,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR147,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR148,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR149,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR150,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR151,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR152,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR153,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR154,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_TIMESTAMP034,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP035,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP036,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER089,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER090,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER091,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER092,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER093,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER094,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER095,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER096,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR155,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR156,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR157,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR158,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR159,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR160,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR161,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR162,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR163,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR164,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR165,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR166,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR167,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR168,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB011,CLOB,,,,
EXTN_ATTRIBUTE_CLOB012,CLOB,,,,
EXTN_ATTRIBUTE_TIMESTAMP037,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP038,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP039,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER097,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER098,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER099,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER100,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER101,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER102,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER103,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER104,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR169,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR170,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR171,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR172,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR173,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR174,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR175,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR176,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR177,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR178,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR179,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR180,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR181,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR182,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_TIMESTAMP040,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP041,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP042,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER105,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER106,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER107,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER108,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER109,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER110,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER111,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER112,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR183,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR184,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR185,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR186,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR187,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR188,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR189,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR190,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR191,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR192,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR193,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR194,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR195,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR196,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB013,CLOB,,,,
EXTN_ATTRIBUTE_CLOB014,CLOB,,,,
EXTN_ATTRIBUTE_TIMESTAMP043,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP044,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP045,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER113,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER114,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER115,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER116,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER117,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER118,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER119,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER120,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR197,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR198,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR199,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR200,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR201,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR202,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR203,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR204,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR205,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR206,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR207,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR208,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR209,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR210,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_TIMESTAMP046,TIMESTAMP,,,,
